,Country Name,2016 [YR2016]
161,Nigeria,185.99
162,Northern Mariana Islands,0.06
163,Norway,5.23
164,Oman,4.42
165,Pakistan,193.20
166,Palau,0.02
167,Panama,4.03
168,Papua New Guinea,8.08
169,Paraguay,6.73
170,Peru,31.77
171,Philippines,103.32
172,Poland,37.95
173,Portugal,10.32
174,Puerto Rico,3.41
175,Qatar,2.57
176,Romania,19.71
177,Russian Federation,144.34
178,Rwanda,11.92
179,Samoa,0.20
180,San Marino,0.03
181,Sao Tome and Principe,0.20
182,Saudi Arabia,32.28
183,Senegal,15.41
184,Serbia,7.06
185,Seychelles,0.09
186,Sierra Leone,7.40
187,Singapore,5.61
188,Sint Maarten (Dutch part),0.04
189,Slovak Republic,5.43
190,Slovenia,2.06
191,Solomon Islands,0.60
192,Somalia,14.32
193,South Africa,55.91
194,South Sudan,12.23
195,Spain,46.44
196,Sri Lanka,21.20
197,St. Kitts and Nevis,0.05
198,St. Lucia,0.18
199,St. Martin (French part),0.03
200,St. Vincent and the Grenadines,0.11
201,Sudan,39.58
202,Suriname,0.56
203,Swaziland,1.34
204,Sweden,9.90
205,Switzerland,8.37
206,Syrian Arab Republic,18.43
207,Tajikistan,8.73
208,Tanzania,55.57
209,Thailand,68.86
210,Timor-Leste,1.27
211,Togo,7.61
212,Tonga,0.11
213,Trinidad and Tobago,1.36
214,Tunisia,11.40
215,Turkey,79.51
216,Turkmenistan,5.66
217,Turks and Caicos Islands,0.03
218,Tuvalu,0.01
219,Uganda,41.49
220,Ukraine,45.00
221,United Arab Emirates,9.27
222,United Kingdom,65.64
223,United States,323.13
224,Uruguay,3.44
225,Uzbekistan,31.85
226,Vanuatu,0.27
227,"Venezuela, RB",31.57
228,Vietnam,92.70
229,Virgin Islands (U.S.),0.10
230,West Bank and Gaza,4.55
231,"Yemen, Rep.",27.58
232,Zambia,16.59
233,Zimbabwe,16.15
